,basket,next_product,proba
4522,"{'VERDURE', 'CARNE', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI'}","{'LEGUMI', 'GNOCCHI'}",1.0
4521,"{'GNOCCHI', 'CARNE', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI'}","{'LEGUMI', 'VERDURE'}",1.0
4520,"{'VERDURE', 'GNOCCHI', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI'}","{'CARNE', 'LEGUMI'}",1.0
4519,"{'VERDURE', 'GNOCCHI', 'CARNE', 'RISO', 'CROSTACEI_E_MOLLUSCHI'}","{'TORTELLINI', 'LEGUMI'}",1.0
4518,"{'VERDURE', 'GNOCCHI', 'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI'}","{'LEGUMI', 'RISO'}",1.0
4517,"{'CARNE', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'VERDURE', 'GNOCCHI'}",1.0
4516,"{'VERDURE', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'CARNE', 'GNOCCHI'}",1.0
4515,"{'VERDURE', 'CARNE', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'TORTELLINI', 'GNOCCHI'}",1.0
4514,"{'VERDURE', 'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'GNOCCHI', 'RISO'}",1.0
4513,"{'GNOCCHI', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'CARNE', 'VERDURE'}",1.0
4512,"{'GNOCCHI', 'CARNE', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'TORTELLINI', 'VERDURE'}",1.0
4511,"{'GNOCCHI', 'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'VERDURE', 'RISO'}",1.0
7352,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'PIZZA', 'GNOCCHI'}","{'LEGUMI', 'RISO'}",1.0
4481,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'TORTELLINI', 'VERDURE', 'GNOCCHI'}",1.0
7426,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'TORTELLINI', 'VERDURE', 'PIZZA', 'GNOCCHI'}",1.0
4443,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'VERDURE'}","{'CARNE', 'TORTELLINI', 'GNOCCHI', 'RISO'}",1.0
4454,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}","{'TORTELLINI', 'VERDURE', 'LEGUMI', 'GNOCCHI'}",1.0
4453,"{'CROSTACEI_E_MOLLUSCHI', 'VERDURE', 'RISO'}","{'CARNE', 'TORTELLINI', 'LEGUMI', 'GNOCCHI'}",1.0
4452,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'VERDURE'}","{'CARNE', 'LEGUMI', 'GNOCCHI', 'RISO'}",1.0
9683,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'PIZZA', 'PASTA'}",1.0
4450,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'LEGUMI', 'VERDURE'}",1.0
4449,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}","{'CARNE', 'LEGUMI', 'VERDURE', 'RISO'}",1.0
7359,"{'TORTELLINI', 'LEGUMI', 'RISO', 'PIZZA'}","{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
4446,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'CARNE', 'TORTELLINI', 'VERDURE', 'GNOCCHI'}",1.0
4445,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'CARNE', 'VERDURE', 'GNOCCHI', 'RISO'}",1.0
4444,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'TORTELLINI', 'VERDURE', 'GNOCCHI', 'RISO'}",1.0
4442,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'CARNE', 'TORTELLINI', 'VERDURE', 'RISO'}",1.0
4480,"{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'VERDURE', 'GNOCCHI', 'RISO'}",1.0
9691,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO', 'PASTA'}",{'PIZZA'},1.0
9692,"{'CROSTACEI_E_MOLLUSCHI', 'PIZZA', 'GNOCCHI', 'RISO'}",{'PASTA'},1.0
7361,"{'GNOCCHI', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PIZZA'}",{'RISO'},1.0
7362,"{'GNOCCHI', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}",{'PIZZA'},1.0
7363,"{'GNOCCHI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PIZZA'}",{'TORTELLINI'},1.0
9702,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'PIZZA', 'PASTA'}",1.0
7364,"{'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PIZZA'}",{'GNOCCHI'},1.0
7365,"{'GNOCCHI', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'PIZZA'}",{'LEGUMI'},1.0
9704,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}","{'PIZZA', 'GNOCCHI', 'PASTA'}",1.0
4432,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'GNOCCHI', 'VERDURE', 'CARNE', 'TORTELLINI', 'RISO'}",1.0
9679,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'PIZZA', 'RISO'}",{'GNOCCHI'},1.0
7358,"{'LEGUMI', 'GNOCCHI', 'RISO', 'PIZZA'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI'}",1.0
7357,"{'TORTELLINI', 'LEGUMI', 'GNOCCHI', 'RISO'}","{'CROSTACEI_E_MOLLUSCHI', 'PIZZA'}",1.0
7356,"{'TORTELLINI', 'LEGUMI', 'GNOCCHI', 'PIZZA'}","{'CROSTACEI_E_MOLLUSCHI', 'RISO'}",1.0
4479,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'VERDURE', 'RISO'}","{'CARNE', 'TORTELLINI', 'GNOCCHI'}",1.0
4478,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'VERDURE'}","{'CARNE', 'GNOCCHI', 'RISO'}",1.0
4477,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'VERDURE'}","{'TORTELLINI', 'GNOCCHI', 'RISO'}",1.0
4476,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'VERDURE'}",1.0
4475,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'CARNE', 'VERDURE', 'RISO'}",1.0
4474,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'TORTELLINI', 'VERDURE', 'RISO'}",1.0
4473,"{'VERDURE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'CARNE', 'TORTELLINI', 'RISO'}",1.0
7353,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'LEGUMI', 'PIZZA'}",1.0
9654,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO', 'PASTA'}",{'CARNE'},1.0
9655,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'PASTA', 'RISO'}",{'GNOCCHI'},1.0
9661,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}",{'PIZZA'},1.0
9669,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'PIZZA'}",1.0
9672,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}","{'PIZZA', 'GNOCCHI'}",1.0
9675,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}",{'PIZZA'},1.0
4465,"{'TORTELLINI', 'LEGUMI', 'RISO'}","{'CARNE', 'VERDURE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
4464,"{'CARNE', 'LEGUMI', 'RISO'}","{'TORTELLINI', 'VERDURE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
7354,"{'CROSTACEI_E_MOLLUSCHI', 'PIZZA', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'LEGUMI'}",1.0
4462,"{'LEGUMI', 'VERDURE', 'RISO'}","{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
8486,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'PASTA'}","{'LEGUMI', 'RISO', 'PIZZA'}",1.0
9678,"{'CROSTACEI_E_MOLLUSCHI', 'PIZZA', 'GNOCCHI', 'RISO'}",{'CARNE'},1.0
4459,"{'LEGUMI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'VERDURE'}",1.0
4532,"{'GNOCCHI', 'CARNE', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}",{'VERDURE'},1.0
4533,"{'VERDURE', 'CARNE', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}",{'GNOCCHI'},1.0
4534,"{'VERDURE', 'GNOCCHI', 'CARNE', 'TORTELLINI', 'RISO', 'CROSTACEI_E_MOLLUSCHI'}",{'LEGUMI'},1.0
7330,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'TORTELLINI', 'PIZZA', 'GNOCCHI'}",1.0
9586,"{'CARNE', 'LEGUMI', 'GNOCCHI'}","{'TORTELLINI', 'VERDURE', 'PASTA'}",1.0
4618,"{'TORTELLINI', 'LEGUMI', 'RISO'}","{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'PASTA'}",1.0
4617,"{'CARNE', 'LEGUMI', 'RISO'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'PASTA'}",1.0
9587,"{'TORTELLINI', 'LEGUMI', 'GNOCCHI'}","{'CARNE', 'VERDURE', 'PASTA'}",1.0
4615,"{'LEGUMI', 'PASTA', 'RISO'}","{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
4612,"{'LEGUMI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'PASTA'}",1.0
7327,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'TORTELLINI', 'PIZZA', 'RISO'}",1.0
7328,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'PIZZA', 'GNOCCHI', 'RISO'}",1.0
7329,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PIZZA'}","{'TORTELLINI', 'GNOCCHI', 'RISO'}",1.0
4607,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}","{'TORTELLINI', 'LEGUMI', 'GNOCCHI', 'PASTA'}",1.0
9600,"{'LEGUMI', 'VERDURE', 'GNOCCHI', 'PASTA'}","{'CARNE', 'TORTELLINI'}",1.0
4535,"{'VERDURE', 'GNOCCHI', 'CARNE', 'TORTELLINI', 'RISO', 'LEGUMI'}",{'CROSTACEI_E_MOLLUSCHI'},1.0
4604,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'LEGUMI', 'PASTA'}",1.0
4603,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}","{'CARNE', 'LEGUMI', 'PASTA', 'RISO'}",1.0
9601,"{'CARNE', 'LEGUMI', 'VERDURE', 'GNOCCHI'}","{'TORTELLINI', 'PASTA'}",1.0
7331,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}","{'LEGUMI', 'RISO', 'PIZZA'}",1.0
4600,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'CARNE', 'TORTELLINI', 'GNOCCHI', 'PASTA'}",1.0
4599,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'CARNE', 'GNOCCHI', 'RISO', 'PASTA'}",1.0
4598,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'TORTELLINI', 'GNOCCHI', 'RISO', 'PASTA'}",1.0
4597,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PASTA'}","{'CARNE', 'TORTELLINI', 'GNOCCHI', 'RISO'}",1.0
4596,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'CARNE', 'TORTELLINI', 'PASTA', 'RISO'}",1.0
9602,"{'TORTELLINI', 'LEGUMI', 'VERDURE', 'GNOCCHI'}","{'CARNE', 'PASTA'}",1.0
9585,"{'LEGUMI', 'GNOCCHI', 'PASTA'}","{'CARNE', 'TORTELLINI', 'VERDURE'}",1.0
9581,"{'LEGUMI', 'VERDURE', 'GNOCCHI'}","{'CARNE', 'TORTELLINI', 'PASTA'}",1.0
9574,"{'LEGUMI', 'GNOCCHI'}","{'CARNE', 'TORTELLINI', 'VERDURE', 'PASTA'}",1.0
9572,"{'CARNE', 'TORTELLINI', 'LEGUMI', 'GNOCCHI'}",{'VERDURE'},1.0
4650,"{'LEGUMI', 'GNOCCHI', 'RISO', 'PASTA'}","{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI'}",1.0
8499,"{'TORTELLINI', 'LEGUMI', 'GNOCCHI', 'PIZZA'}","{'CROSTACEI_E_MOLLUSCHI', 'PASTA', 'RISO'}",1.0
8498,"{'LEGUMI', 'GNOCCHI', 'RISO', 'PASTA'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'PIZZA'}",1.0
4647,"{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}","{'LEGUMI', 'GNOCCHI', 'PASTA'}",1.0
8497,"{'PIZZA', 'LEGUMI', 'GNOCCHI', 'PASTA'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}",1.0
4645,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'PASTA', 'RISO'}","{'TORTELLINI', 'LEGUMI', 'GNOCCHI'}",1.0
4643,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'LEGUMI', 'PASTA'}",1.0
4642,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'LEGUMI', 'PASTA'}",1.0
4641,"{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}","{'LEGUMI', 'PASTA', 'RISO'}",1.0
4640,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO', 'PASTA'}","{'CARNE', 'TORTELLINI', 'LEGUMI'}",1.0
4639,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'PASTA'}","{'CARNE', 'LEGUMI', 'RISO'}",1.0
4637,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'CARNE', 'GNOCCHI', 'PASTA'}",1.0
4636,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'TORTELLINI', 'GNOCCHI', 'PASTA'}",1.0
4635,"{'CARNE', 'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'GNOCCHI', 'RISO', 'PASTA'}",1.0
4634,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PASTA', 'RISO'}","{'CARNE', 'TORTELLINI', 'GNOCCHI'}",1.0
4633,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PASTA'}","{'CARNE', 'GNOCCHI', 'RISO'}",1.0
4632,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PASTA'}","{'TORTELLINI', 'GNOCCHI', 'RISO'}",1.0
4631,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI', 'RISO'}","{'CARNE', 'TORTELLINI', 'PASTA'}",1.0
4630,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'CARNE', 'PASTA', 'RISO'}",1.0
4629,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'TORTELLINI', 'PASTA', 'RISO'}",1.0
4628,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI', 'PASTA'}","{'CARNE', 'TORTELLINI', 'RISO'}",1.0
9606,"{'CARNE', 'LEGUMI', 'GNOCCHI', 'PASTA'}","{'TORTELLINI', 'VERDURE'}",1.0
9607,"{'TORTELLINI', 'LEGUMI', 'GNOCCHI', 'PASTA'}","{'CARNE', 'VERDURE'}",1.0
9608,"{'CARNE', 'TORTELLINI', 'LEGUMI', 'GNOCCHI'}","{'VERDURE', 'PASTA'}",1.0
9616,"{'VERDURE', 'GNOCCHI', 'TORTELLINI', 'LEGUMI', 'PASTA'}",{'CARNE'},1.0
4559,"{'LEGUMI', 'PASTA', 'RISO'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
9617,"{'VERDURE', 'GNOCCHI', 'CARNE', 'TORTELLINI', 'LEGUMI'}",{'PASTA'},1.0
4557,"{'LEGUMI', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'PASTA'}",1.0
7337,"{'LEGUMI', 'GNOCCHI', 'PIZZA'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}",1.0
7338,"{'LEGUMI', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'PIZZA'}",1.0
9619,"{'GNOCCHI', 'CARNE', 'TORTELLINI', 'LEGUMI', 'PASTA'}",{'VERDURE'},1.0
4551,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'TORTELLINI', 'LEGUMI', 'PASTA'}",1.0
4550,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}","{'LEGUMI', 'PASTA', 'RISO'}",1.0
8490,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'LEGUMI', 'PASTA', 'PIZZA'}",1.0
4548,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'RISO'}","{'TORTELLINI', 'GNOCCHI', 'PASTA'}",1.0
4547,"{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'GNOCCHI', 'RISO', 'PASTA'}",1.0
4546,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'PASTA'}","{'TORTELLINI', 'GNOCCHI', 'RISO'}",1.0
4545,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI', 'GNOCCHI'}","{'TORTELLINI', 'PASTA', 'RISO'}",1.0
9620,"{'VERDURE', 'GNOCCHI', 'CARNE', 'TORTELLINI', 'PASTA'}",{'LEGUMI'},1.0
9628,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}",{'PASTA'},1.0
7340,"{'TORTELLINI', 'LEGUMI', 'RISO'}","{'CROSTACEI_E_MOLLUSCHI', 'PIZZA', 'GNOCCHI'}",1.0
7341,"{'LEGUMI', 'RISO', 'PIZZA'}","{'TORTELLINI', 'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI'}",1.0
9636,"{'CARNE', 'CROSTACEI_E_MOLLUSCHI', 'RISO'}",{'GNOCCHI'},1.0
9638,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}",{'CARNE'},1.0
9645,"{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'RISO'}","{'CARNE', 'PASTA'}",1.0
4536,"{'CROSTACEI_E_MOLLUSCHI', 'LEGUMI'}","{'TORTELLINI', 'GNOCCHI', 'RISO', 'PASTA'}",1.0
4560,"{'TORTELLINI', 'LEGUMI', 'RISO'}","{'CROSTACEI_E_MOLLUSCHI', 'GNOCCHI', 'PASTA'}",1.0
9615,"{'VERDURE', 'GNOCCHI', 'CARNE', 'LEGUMI', 'PASTA'}",{'TORTELLINI'},1.0
9611,"{'TORTELLINI', 'VERDURE', 'GNOCCHI', 'PASTA'}","{'CARNE', 'LEGUMI'}",1.0
9614,"{'CARNE', 'TORTELLINI', 'GNOCCHI', 'PASTA'}","{'LEGUMI', 'VERDURE'}",1.0
